CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026),NF EXCL
C4032,Malignant neoplasm of short bones of left lower limb,Malignant neoplasm of short bones of left lower limb,
C4080,Malig neoplm of ovrlp sites of bone/artic cartl of unsp limb,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,
C4081,Malig neoplm of ovrlp sites of bone/artic cartl of r limb,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,
C4082,Malig neoplm of ovrlp sites of bone/artic cartl of left limb,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,
C4090,Malig neoplasm of unsp bones and artic cartlg of unsp limb,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,
C4091,Malig neoplasm of unsp bones and artic cartlg of right limb,Malignant neoplasm of unspecified bones and articular cartilage of right limb,
C4092,Malig neoplasm of unsp bones and artic cartlg of left limb,Malignant neoplasm of unspecified bones and articular cartilage of left limb,
C410,Malignant neoplasm of bones of skull and face,Malignant neoplasm of bones of skull and face,
C411,Malignant neoplasm of mandible,Malignant neoplasm of mandible,
C412,Malignant neoplasm of vertebral column,Malignant neoplasm of vertebral column,
C413,"Malignant neoplasm of ribs, sternum and clavicle","Malignant neoplasm of ribs, sternum and clavicle",
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx","Malignant neoplasm of pelvic bones, sacrum and coccyx",
C419,"Malignant neoplasm of bone and articular cartilage, unsp","Malignant neoplasm of bone and articular cartilage, unspecified",
C4400,Unspecified malignant neoplasm of skin of lip,Unspecified malignant neoplasm of skin of lip,
C4409,Other specified malignant neoplasm of skin of lip,Other specified malignant neoplasm of skin of lip,
C44101,"Unsp malignant neoplasm skin/ unsp eyelid, including canthus","Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",
C44102,"Unsp malignant neoplasm skin/ right eyelid, inc canthus","Unspecified malignant neoplasm of skin of right eyelid, including canthus",
C441021,"Unsp malig neoplasm skin/ right upper eyelid, inc canthus","Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",
C441022,"Unsp malig neoplasm skin/ right lower eyelid, inc canthus","Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",
C44109,"Unsp malignant neoplasm skin/ left eyelid, including canthus","Unspecified malignant neoplasm of skin of left eyelid, including canthus",
C441091,"Unsp malignant neoplasm skin/ left upper eyelid, inc canthus","Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",
C441092,"Unsp malignant neoplasm skin/ left lower eyelid, inc canthus","Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",
C44191,"Oth malignant neoplasm skin/ unsp eyelid, including canthus","Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",
C44192,"Oth malignant neoplasm skin/ right eyelid, including canthus","Other specified malignant neoplasm of skin of right eyelid, including canthus",
C441921,"Oth malignant neoplasm skin/ right upper eyelid, inc canthus","Other specified malignant neoplasm of skin of right upper eyelid, including canthus",
C441922,"Oth malignant neoplasm skin/ right lower eyelid, inc canthus","Other specified malignant neoplasm of skin of right lower eyelid, including canthus",
C44199,"Oth malignant neoplasm skin/ left eyelid, including canthus","Other specified malignant neoplasm of skin of left eyelid, including canthus",
C441991,"Oth malignant neoplasm skin/ left upper eyelid, inc canthus","Other specified malignant neoplasm of skin of left upper eyelid, including canthus",
C441992,"Oth malignant neoplasm skin/ left lower eyelid, inc canthus","Other specified malignant neoplasm of skin of left lower eyelid, including canthus",
C44201,Unsp malig neoplasm skin/ unsp ear and external auric canal,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,
C44202,Unsp malig neoplasm skin/ right ear and external auric canal,Unspecified malignant neoplasm of skin of right ear and external auricular canal,
C44209,Unsp malig neoplasm skin/ left ear and external auric canal,Unspecified malignant neoplasm of skin of left ear and external auricular canal,
C44291,Oth malig neoplasm skin/ unsp ear and external auric canal,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,
C44292,Oth malig neoplasm skin/ right ear and external auric canal,Other specified malignant neoplasm of skin of right ear and external auricular canal,
C44299,Oth malig neoplasm skin/ left ear and external auric canal,Other specified malignant neoplasm of skin of left ear and external auricular canal,
C44300,Unsp malignant neoplasm of skin of unspecified part of face,Unspecified malignant neoplasm of skin of unspecified part of face,
C44301,Unspecified malignant neoplasm of skin of nose,Unspecified malignant neoplasm of skin of nose,
C44309,Unsp malignant neoplasm of skin of other parts of face,Unspecified malignant neoplasm of skin of other parts of face,
C44390,Oth malignant neoplasm of skin of unspecified parts of face,Other specified malignant neoplasm of skin of unspecified parts of face,
C44391,Other specified malignant neoplasm of skin of nose,Other specified malignant neoplasm of skin of nose,
